material_name,material name,metallic,roughness,metallicF0Factor,albedo,clearCoat_isEnabled,clearCoat_intensity,clearCoat_roughness,clearCoat_indexOfRefraction,clearCoat_isTintEnabled,tintColor,clearCoat_tintThickness
154_Alluminio_Lucido,Alluminio Lucido,0.8,0.45,1.8,"0.415148091655906, 0.415148091655906, 0.415148091655906",TRUE,1,0,1.6,FALSE,"1, 1, 1",1
39_Alluminio_Opaco,Alluminio Opaco,0.81,0.5,0.26,"0.423529411764705, 0.423529411764705, 0.423529411764705",FALSE,1,1,1.14,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
27_Alluminium,Alluminium,0.91,0.51,0,"0.498039215686274, 0.498039215686274, 0.498039215686274",TRUE,1,0.01,1,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
05_Aluminium,Aluminium,0.98,0.48,0.98,"0.772549019607843, 0.772549019607843, 0.772549019607843",FALSE,1,0,1.5,FALSE,"1, 1, 1",1
12_Argento_Nurburgring,Argento Nurburgring,0.8,0.45,1.8,"0.776470588235294, 0.780392156862745, 0.76078431372549",TRUE,1,0,1.5,FALSE,"1, 1, 1",1
67_Argento_Nurburgring_opaco,Argento Nurburgring opaco,0.81,0.56,0.14,"0.76078431372549, 0.917647058823529, 0.913725490196078",FALSE,1,1,1.14,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
55_Avio,Avio,0.11,0.06,0.5,"0.239215686274509, 0.0823529411764705, 0.0901960784313725",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
78_Avio_Metallizziato,Avio Metallizziato,0.2,0,1.5,"0.0846415107254294, 0.0461488424223509, 0.0545922772817603",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
09_Avorio,Avorio,0,0.01,0.5,"0.6, 0.505882352941176, 0.301960784313725",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
106_Azzuro_Dino,Azzuro Dino,0,0.01,1,"0.0429870101626571, 0.157280727890073, 0.585972983949661",TRUE,0.78,0,1,FALSE,"1, 1, 1",1
23_Azzurro_California,Azzurro California,0.7,0.49,1,"0.24680041960155, 0.585972983949661, 0.83552779146084",TRUE,1,0.01,1,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
105_Azzurro_Met,Azzurro Met,0.68,0.1,0,"0.537254901960784, 0.76078431372549, 0.686274509803921",FALSE,1,1,1.14,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
79_Azzurro_Metallizziato,Azzurro Metallizziato,0.84,0.45,1,"0.141980290685735, 0.173439036332135, 0.208359655960767",TRUE,1,0.01,1,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
56_Azzurro_Monaco,Azzurro Monaco,0.84,0.23,0,"0.0745098039215686, 0.109803921568627, 0.156862745098039",TRUE,1,0.01,1,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
47_Azzurro_Qao,Azzurro Qao,0.84,0.23,0,"0.0862745098039215, 0.125490196078431, 0.188235294117647",TRUE,1,0.01,1,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
179_Bianco_Artico,Bianco Artico,0.25,0.06,1,"0.804559113894566, 0.948964938178195, 0.948964938178195",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
10_Bianco_Avus,Bianco Avus,0,0.01,1.51,"0.701960784313725, 0.690196078431372, 0.572549019607843",TRUE,0.78,0,1,FALSE,"1, 1, 1",1
70_Bianco_Cervino,Bianco Cervino,0,0.06,0.5,"0.745098039215686, 0.745098039215686, 0.737254901960784",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
37_Bianco_Fuji,Bianco Fuji,0,0.06,0.5,"0.745098039215686, 0.745098039215686, 0.737254901960784",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
30_Bianco_Italia,Bianco Italia,0,0.02,0.48,"0.811764705882352, 0.835294117647058, 0.729411764705882",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
159_Bianco_Italia_Opaco,Bianco Italia Opaco,0.81,0.5,0.26,"0.811764705882352, 0.835294117647058, 0.729411764705882",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
156_Bianco_King,Bianco King,0,0.06,0.5,"0.745098039215686, 0.745098039215686, 0.737254901960784",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
21_Blu_Abu_Dhabi,Blu Abu Dhabi,0.8,0.51,1.8,"0.0117647058823529, 0.0901960784313725, 0.2",TRUE,1,0,1.5,FALSE,"1, 1, 1",1
48_Blu_America,Blu America,0.84,0.23,0,"0, 0.149019607843137, 0.4",TRUE,1,0.01,1,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
80_Blu_California,Blu California,0.55,0.25,1,"0.24680041960155, 0.585972983949661, 0.819963705323527",TRUE,1,0.01,1,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
66_Blu_Corsa,Blu Corsa,0.9,0.51,0,"0.141176470588235, 0.439215686274509, 0.984313725490196",TRUE,1,0.01,1.4,TRUE,"0.227450980392156, 0.68235294117647, 0.952941176470588",6.2
66_Blu_Corsa_Opaco,Blu Corsa Opaco,0.81,0.56,1,"0.0677245896854243, 0.227136525505148, 0.827725794455033",FALSE,1,0.01,1.4,TRUE,"0.227450980392156, 0.68235294117647, 0.952941176470588",6.2
39_Blu_Elettrico,Blu Elettrico,0,0.65,0.5,"0.0134733969401426, 0.0160677008908868, 0.052841625522879",FALSE,1,1,3,FALSE,"0.188235294117647, 0.0745098039215686, 0.00392156862745098",1
74_Blu_Elettrico_2020,Blu Elettrico 2020,0,0.01,0,"0.00392156862745098, 0.0196078431372549, 0.0941176470588235",TRUE,0.3,0.01,1.45,FALSE,"1, 1, 1",1
59_Blu_Elettrico,Blu Elettrico Opaco,0.51,0.08,1,"0.325490196078431, 0.239215686274509, 0.929411764705882",TRUE,1,0.01,1.29,TRUE,"0.00392156862745098, 0.788235294117647, 0.788235294117647",1
52_Blu_Le_Mans,Blu Le Mans,0.84,0.27,0,"0.00392156862745098, 0.141176470588235, 0.396078431372549",TRUE,1,0.01,1,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
22_Blu_Mirabeau,Blu Mirabeau,0.8,0.45,1,"0.141980290685735, 0.358653905926198, 0.409825738436323",TRUE,1,0.01,1,TRUE,"0.0274509803921568, 0.0274509803921568, 0.219607843137254",1
46_Blu_Nart,Blu Nart,0.84,0.4,0,"0.00392156862745098, 0.24313725490196, 0.568627450980392",TRUE,1,0.01,1.46,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
20_Blu_Pozzi,Blu Pozzi,0,0.06,2,"0.0117647058823529, 0.0392156862745098, 0.0862745098039215",TRUE,0.5,0,2,FALSE,"0.501960784313725, 1, 1",0
94_Blu_Roma,Blu Roma,0.92,0.29,1.8,"0.284452061560024, 0.447870841800409, 0.694080519796882",TRUE,1,0,1.5,FALSE,"1, 1, 1",1
26_Blu_Scozia,Blu Scozia,0,0.05,0.5,"0.0392156862745098, 0.0470588235294117, 0.113725490196078",TRUE,1,0.01,1.44,FALSE,"1, 1, 1",1
97_Blu_Scozia_Mica,Blu Scozia Mica,0,0.05,1.5,"0.01698805208925, 0.0220129949193365, 0.0370285141619602",TRUE,1,0.01,1.44,FALSE,"1, 1, 1",1
25_Blu_Swaters,Blu Swaters,0.8,0.6,1,"0.403921568627451, 0.545098039215686, 0.803921568627451",TRUE,1,0.01,1.55,TRUE,"0.278431372549019, 0.309803921568627, 0.56078431372549",6.8
24_Blu_tour_de_France,Blu tour de France,0.7,0.51,1.8,"0.24313725490196, 0.258823529411764, 0.592156862745098",TRUE,1,0.01,1.5,TRUE,"0.0823529411764705, 0.501960784313725, 0.917647058823529",1.7
15_Canna_di_Fucile,Canna di Fucile,0.8,0.15,0.8,"0.737254901960784, 0.737254901960784, 0.76078431372549",TRUE,1,0,1.29,TRUE,"0.498039215686274, 0.498039215686274, 0.498039215686274",1
75_Canna_di_Fucile_Matt,Canna di Fucile Matt,0,0.53,1.8,"0.0189129834237215, 0.0189129834237215, 0.0189129834237215",TRUE,1,0.55,1.64,TRUE,"0.498039215686274, 0.498039215686274, 0.498039215686274",1
177_Celeste_f169,Celeste f169,0.5,0.5,1,"0.227136525505148, 0.334457807923889, 0.339223334935326",TRUE,1,0,2,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
57_Celeste_met,Celeste met,0.65,0.6,1,"0.136098549737202, 0.23489525921588, 0.227136525505148",FALSE,1,1,1.14,FALSE,"0.0235294117647058, 0.0274509803921568, 0.0588235294117647",1
f171_Ferrari_Metal_titanio,Ferrari Metal titanio,1,0.25,1,"0.547993502196971, 0.547993502196971, 0.547993502196971",FALSE,1,0,1.5,FALSE,"1, 1, 1",1
04_Ferrari_Metal_titanio_matt,Ferrari Metal titanio matt,0,0,1,"0.32156862745098, 0.32156862745098, 0.32156862745098",FALSE,1,0,1.5,FALSE,"1, 1, 1",1
