name,link,ar,span,pin,pinrow
render,/assets/images/pocket_poster/p1.avif,1.53,2,,
roma.avif,/assets/images/pocket_poster/roma.avif,0.66,,,
zonda.avif,/assets/images/pocket_poster/zonda.avif,0.64,,,
p4.avif,/assets/images/pocket_poster/p4.avif,0.93,2,,
p16.avif,/assets/images/pocket_poster/p16.avif,1.84,2,,
supertrofeo.avif,/assets/images/pocket_poster/supertrofeo.avif,1.00,,,
1gtb.avif,/assets/images/pocket_poster/1gtb.avif,1.00,,,
250gto.avif,/assets/images/pocket_poster/250gto.avif,0.64,,,
2gtb.avif,/assets/images/pocket_poster/2gtb.avif,0.80,,,
3gtb.avif,/assets/images/pocket_poster/3gtb.avif,0.74,,,
488.avif,/assets/images/pocket_poster/488.avif,1.00,,,
4gtb.avif,/assets/images/pocket_poster/4gtb.avif,0.92,,,
575.avif,/assets/images/pocket_poster/575.avif,0.76,,,
599gto.avif,/assets/images/pocket_poster/599gto.avif,0.68,,,
5gtb.avif,/assets/images/pocket_poster/5gtb.avif,0.66,,,
6gtb.avif,/assets/images/pocket_poster/6gtb.avif,0.75,,,
enzo.avif,/assets/images/pocket_poster/enzo.avif,0.76,,,
f430.avif,/assets/images/pocket_poster/f430.avif,0.76,,,
p10.avif,/assets/images/pocket_poster/p10.avif,0.73,,,
p11.avif,/assets/images/pocket_poster/p11.avif,0.73,,,
p12.avif,/assets/images/pocket_poster/p12.avif,0.72,,,
p13.avif,/assets/images/pocket_poster/p13.avif,1.50,2,,
p14.avif,/assets/images/pocket_poster/p14.avif,0.73,,,
p15.avif,/assets/images/pocket_poster/p15.avif,0.72,,,
p17.avif,/assets/images/pocket_poster/p17.avif,0.71,,,
p18.avif,/assets/images/pocket_poster/p18.avif,0.74,,,
p19.avif,/assets/images/pocket_poster/p19.avif,0.73,,,
p20.avif,/assets/images/pocket_poster/p20.avif,0.71,,,
p5.avif,/assets/images/pocket_poster/p5.avif,0.68,,,
p6.avif,/assets/images/pocket_poster/p6.avif,1.25,2,,
p7.avif,/assets/images/pocket_poster/p7.avif,0.73,,,
p8.avif,/assets/images/pocket_poster/p8.avif,0.71,,,
p9.avif,/assets/images/pocket_poster/p9.avif,0.75,,,



